id,title,year,runtime,genre,imdb_rating,metascore,num_votes,gross
tt0330373,Harry Potter und der Feuerkelch,2005,157 min,"Adventure, Family, Fantasy",7.7,81,635754,$290.01M
tt2294629,Die Eiskönigin: Völlig unverfroren,2013,102 min,"Animation, Adventure, Comedy",7.4,75,631856,$400.74M
tt0758758,Into the Wild,2007,148 min,"Adventure, Biography, Drama",8.1,73,628400,$18.35M
tt5052448,Get Out,2017,104 min,"Horror, Mystery, Thriller",7.7,85,624177,$176.04M
tt0114746,12 Monkeys,1995,129 min,"Mystery, Sci-Fi, Thriller",8,74,623393,$57.14M
tt1798709,Her,2013,126 min,"Drama, Romance, Sci-Fi",8,91,623107,$25.57M
tt1637725,Ted,2012,106 min,Comedy,6.9,62,621899,$218.82M
tt0120903,X-Men,2000,104 min,"Action, Adventure, Sci-Fi",7.3,64,621333,$157.30M
tt1024648,Argo,2012,120 min,"Biography, Drama, Thriller",7.7,86,619235,$136.03M
tt1446714,Prometheus - Dunkle Zeichen,2012,124 min,"Adventure, Mystery, Sci-Fi",7,64,615581,$126.48M
tt0073195,Der weiße Hai,1975,124 min,"Adventure, Thriller",8.1,87,613753,$260.00M
tt3460252,The Hateful 8,2015,168 min,"Crime, Drama, Mystery",7.8,68,611577,$54.12M
tt0936501,96 Hours,2008,90 min,"Action, Crime, Thriller",7.8,51,608723,$145.00M
tt0796366,Star Trek,2009,127 min,"Action, Adventure, Sci-Fi",7.9,82,606956,$257.73M
tt8579674,1917,2019,119 min,"Action, Drama, War",8.2,78,602663,$159.23M
tt0234215,Matrix Reloaded,2003,138 min,"Action, Sci-Fi",7.2,62,600879,$281.49M
tt3783958,La La Land,2016,128 min,"Comedy, Drama, Music",8,94,600001,$151.10M
tt0162222,Cast Away - Verschollen,2000,143 min,"Adventure, Drama, Romance",7.8,73,599830,$233.63M
tt0413300,Spider-Man 3,2007,139 min,"Action, Adventure, Sci-Fi",6.3,59,598259,$336.53M
tt0099785,Kevin - Allein zu Haus,1990,103 min,"Comedy, Family",7.7,63,597826,$285.76M
tt0469494,There Will Be Blood,2007,158 min,Drama,8.2,93,592992,$40.22M
tt5463162,Deadpool 2,2018,119 min,"Action, Adventure, Comedy",7.7,66,591386,$324.59M
tt0373889,Harry Potter und der Orden des Phönix,2007,138 min,"Action, Adventure, Family",7.5,71,590523,$292.00M
tt0829482,Superbad,2007,113 min,Comedy,7.6,76,589391,$121.46M
tt0120735,Bube Dame König grAS,1998,107 min,"Action, Comedy, Crime",8.2,66,587685,$3.90M
tt0120363,Toy Story 2,1999,92 min,"Animation, Adventure, Comedy",7.9,88,587624,$245.85M
tt0119488,L.A. Confidential,1997,138 min,"Crime, Drama, Mystery",8.2,91,587100,$64.62M
tt1856101,Blade Runner 2049,2017,164 min,"Action, Drama, Mystery",8,81,585884,$92.05M
tt0364569,Oldboy,2003,120 min,"Action, Drama, Mystery",8.4,77,585807,$0.71M
tt1156398,Zombieland,2009,88 min,"Action, Comedy, Horror",7.6,73,585643,$75.59M
tt0075148,Rocky,1976,120 min,"Drama, Sport",8.1,70,584363,$117.24M
tt0240772,Ocean's Eleven,2001,116 min,"Crime, Thriller",7.7,74,582557,$183.42M
tt1276104,Looper,2012,119 min,"Action, Drama, Sci-Fi",7.4,84,581976,$66.49M
tt1219289,Ohne Limit,2011,105 min,"Sci-Fi, Thriller",7.4,59,581346,$79.25M
tt0116629,Independence Day,1996,145 min,"Action, Adventure, Sci-Fi",7,59,580734,$306.17M
tt0332280,Wie ein einziger Tag,2004,123 min,"Drama, Romance",7.8,53,579912,$81.00M
tt0119654,Men in Black,1997,98 min,"Action, Adventure, Comedy",7.3,71,576056,$250.69M
tt0034583,Casablanca,1942,102 min,"Drama, Romance, War",8.5,100,576023,$1.02M
tt1250777,Kick-Ass,2010,117 min,"Action, Comedy, Crime",7.6,66,568934,$48.07M
tt4154664,Captain Marvel,2019,123 min,"Action, Adventure, Sci-Fi",6.8,64,567640,$426.83M
tt1232829,21 Jump Street,2012,109 min,"Action, Comedy, Crime",7.2,69,566166,$138.45M
tt0365748,Shaun of the Dead,2004,99 min,"Comedy, Horror",7.9,76,564338,$13.54M
tt10811166,The Kashmir Files,2022,170 min,Drama,8.7,NA,562984,NA
tt0181689,Minority Report,2002,145 min,"Action, Crime, Mystery",7.6,80,558613,$132.07M
tt2872718,Nightcrawler - Jede Nacht hat ihren Preis,2014,117 min,"Crime, Drama, Thriller",7.8,76,557566,$32.38M
tt1396484,Es,2017,135 min,Horror,7.3,69,557488,$327.48M
tt0926084,Harry Potter und die Heiligtümer des Todes - Teil 1,2010,146 min,"Adventure, Family, Fantasy",7.7,65,557429,$295.98M
tt0409459,Watchmen: Die Wächter,2009,162 min,"Action, Drama, Mystery",7.6,56,557240,$107.51M
tt0450259,Blood Diamond,2006,143 min,"Adventure, Drama, Thriller",8,64,556520,$57.37M
tt0290334,X-Men 2,2003,134 min,"Action, Sci-Fi, Thriller",7.4,68,555609,$214.95M
tt1343092,Der große Gatsby,2013,143 min,"Drama, Romance",7.2,55,554138,$144.84M
tt0417741,Harry Potter und der Halbblutprinz,2009,153 min,"Action, Adventure, Family",7.6,78,553762,$301.96M
tt1323594,Ich - Einfach unverbesserlich,2010,95 min,"Animation, Adventure, Comedy",7.6,72,553585,$251.51M
tt0470752,Ex Machina,2014,108 min,"Drama, Sci-Fi, Thriller",7.7,78,552713,$25.44M
tt0258463,Die Bourne Identität,2002,119 min,"Action, Mystery, Thriller",7.9,68,552282,$121.66M
tt3890160,Baby Driver,2017,113 min,"Action, Crime, Drama",7.6,86,551014,$107.83M
tt0443706,Zodiac: Die Spur des Killers,2007,157 min,"Crime, Drama, Mystery",7.7,79,550921,$33.08M
tt0343818,"I, Robot",2004,115 min,"Action, Mystery, Sci-Fi",7.1,59,547354,$144.80M
tt1727824,Bohemian Rhapsody,2018,134 min,"Biography, Drama, Music",7.9,49,546159,$216.43M
tt0071853,Die Ritter der Kokosnuß,1975,91 min,"Adventure, Comedy, Fantasy",8.2,91,545983,$1.23M
tt11286314,Don't Look Up,2021,138 min,"Comedy, Drama, Sci-Fi",7.2,49,545042,NA
tt0332452,Troja,2004,163 min,Drama,7.3,56,541583,$133.38M
tt4633694,Spider-Man: A New Universe,2018,117 min,"Animation, Action, Adventure",8.4,87,540975,$190.24M
tt2310332,Der Hobbit: Die Schlacht der fünf Heere,2014,144 min,"Adventure, Fantasy",7.4,59,540143,$255.12M
tt0096874,Zurück in die Zukunft II,1989,108 min,"Adventure, Comedy, Sci-Fi",7.8,57,539827,$118.50M
tt6644200,A Quiet Place,2018,90 min,"Drama, Horror, Sci-Fi",7.5,82,538668,$188.02M
