id,stars,n
tt0034248,10,2865
tt0034398,1,176
tt0034398,2,106
tt0034398,3,228
tt0034398,4,547
tt0034398,5,1508
tt0034398,6,4002
tt0034398,7,8592
tt0034398,8,7057
tt0034398,9,2756
tt0034398,10,3344
tt0034492,1,987
tt0034492,2,773
tt0034492,3,1360
tt0034492,4,3036
tt0034492,5,8171
tt0034492,6,20994
tt0034492,7,44744
tt0034492,8,35905
tt0034492,9,13796
tt0034492,10,16058
tt0034583,1,8610
tt0034583,2,2681
tt0034583,3,3210
tt0034583,4,5458
tt0034583,5,11579
tt0034583,6,26003
tt0034583,7,71149
tt0034583,8,136133
tt0034583,9,140360
tt0034583,10,170881
tt0034587,1,162
tt0034587,2,102
tt0034587,3,231
tt0034587,4,559
tt0034587,5,1383
tt0034587,6,3513
tt0034587,7,6973
tt0034587,8,6348
tt0034587,9,2498
tt0034587,10,2154
tt0035015,1,272
tt0035015,2,141
tt0035015,3,212
tt0035015,4,418
tt0035015,5,982
tt0035015,6,2510
tt0035015,7,5339
tt0035015,8,7089
tt0035015,9,4185
tt0035015,10,4217
tt0035279,1,139
tt0035279,2,99
tt0035279,3,184
tt0035279,4,398
tt0035279,5,1294
tt0035279,6,4300
tt0035279,7,9689
tt0035279,8,6702
tt0035279,9,2077
tt0035279,10,1637
tt0035423,1,979
tt0035423,2,946
tt0035423,3,1863
tt0035423,4,4241
tt0035423,5,10529
tt0035423,6,21970
tt0035423,7,23376
tt0035423,8,11808
tt0035423,9,4471
tt0035423,10,5838
tt0035446,1,1104
tt0035446,2,268
tt0035446,3,447
tt0035446,4,464
tt0035446,5,997
tt0035446,6,2036
tt0035446,7,5599
tt0035446,8,11179
tt0035446,9,8792
tt0035446,10,7769
tt0036244,1,826
tt0036244,2,155
tt0036244,3,177
tt0036244,4,263
tt0036244,5,645
tt0036244,6,1376
tt0036244,7,3836
tt0036244,8,7448
tt0036244,9,5088
tt0036244,10,4060
tt0036342,1,908
tt0036342,2,224
tt0036342,3,397
tt0036342,4,772
tt0036342,5,1930
tt0036342,6,5270
tt0036342,7,14302
tt0036342,8,20919
tt0036342,9,11658
tt0036342,10,10431
tt0036613,1,1559
tt0036613,2,481
tt0036613,3,598
tt0036613,4,1048
tt0036613,5,2438
tt0036613,6,5026
tt0036613,7,11818
tt0036613,8,19656
tt0036613,9,14247
tt0036613,10,15207
tt0036775,1,2886
tt0036775,2,904
tt0036775,3,963
tt0036775,4,2000
tt0036775,5,3718
tt0036775,6,7893
tt0036775,7,23885
tt0036775,8,47330
tt0036775,9,38289
tt0036775,10,31062
tt0036855,1,177
tt0036855,2,77
tt0036855,3,127
tt0036855,4,277
tt0036855,5,783
tt0036855,6,2251
tt0036855,7,6470
tt0036855,8,11246
tt0036855,9,5078
tt0036855,10,3973
tt0036868,1,1827
tt0036868,2,480
tt0036868,3,566
tt0036868,4,848
tt0036868,5,2121
tt0036868,6,4152
tt0036868,7,10757
tt0036868,8,18289
tt0036868,9,12554
tt0036868,10,14374
tt0037008,1,778
tt0037008,2,174
tt0037008,3,241
tt0037008,4,460
tt0037008,5,1159
tt0037008,6,3153
tt0037008,7,9138
tt0037008,8,15369
tt0037008,9,9341
tt0037008,10,8628
tt0037017,1,171
tt0037017,2,94
tt0037017,3,150
tt0037017,4,309
tt0037017,5,887
tt0037017,6,2695
tt0037017,7,7556
tt0037017,8,10223
tt0037017,9,4043
tt0037017,10,3595
tt0037059,1,247
tt0037059,2,149
tt0037059,3,269
tt0037059,4,593
tt0037059,5,1299
tt0037059,6,2679
tt0037059,7,5530
tt0037059,8,6159
tt0037059,9,3407
tt0037059,10,5201
tt0037382,1,316
tt0037382,2,114
tt0037382,3,174
tt0037382,4,356
tt0037382,5,885
tt0037382,6,2723
tt0037382,7,7302
tt0037382,8,11615
tt0037382,9,6409
tt0037382,10,5852
tt0037558,1,862
tt0037558,2,237
tt0037558,3,371
tt0037558,4,540
tt0037558,5,1183
tt0037558,6,2701
tt0037558,7,6612
tt0037558,8,11463
tt0037558,9,8417
tt0037558,10,8717
tt0037674,1,976
tt0037674,2,173
tt0037674,3,185
tt0037674,4,295
tt0037674,5,601
tt0037674,6,1001
tt0037674,7,2112
tt0037674,8,4086
tt0037674,9,4033
tt0037674,10,6834
tt0037884,1,924
tt0037884,2,265
tt0037884,3,262
tt0037884,4,482
tt0037884,5,1081
tt0037884,6,2643
tt0037884,7,7223
tt0037884,8,12085
tt0037884,9,7080
tt0037884,10,5962
tt0037913,1,387
tt0037913,2,106
tt0037913,3,111
tt0037913,4,208
tt0037913,5,627
tt0037913,6,1636
tt0037913,7,4734
tt0037913,8,9351
tt0037913,9,4894
tt0037913,10,4592
tt0038109,1,267
tt0038109,2,199
tt0038109,3,326
tt0038109,4,620
tt0038109,5,1983
tt0038109,6,5319
tt0038109,7,13464
tt0038109,8,16287
tt0038109,9,6386
tt0038109,10,4757
tt0038348,1,1061
tt0038348,2,239
tt0038348,3,265
tt0038348,4,393
tt0038348,5,932
tt0038348,6,2080
tt0038348,7,4479
tt0038348,8,6857
tt0038348,9,4986
tt0038348,10,5659
tt0038355,1,1435
tt0038355,2,469
tt0038355,3,628
tt0038355,4,1057
tt0038355,5,2882
tt0038355,6,6557
tt0038355,7,15703
tt0038355,8,25872
tt0038355,9,17094
tt0038355,10,15338
tt0038559,1,198
tt0038559,2,129
tt0038559,3,206
tt0038559,4,444
tt0038559,5,1317
tt0038559,6,3391
tt0038559,7,7896
tt0038559,8,10344
tt0038559,9,4887
tt0038559,10,4264
tt0038574,1,701
tt0038574,2,137
tt0038574,3,215
tt0038574,4,326
tt0038574,5,806
tt0038574,6,1934
tt0038574,7,4849
tt0038574,8,7258
tt0038574,9,4377
tt0038574,10,4468
tt0038650,1,6758
tt0038650,2,2237
tt0038650,3,2738
tt0038650,4,4424
tt0038650,5,9344
tt0038650,6,19247
tt0038650,7,50812
tt0038650,8,99009
tt0038650,9,115322
tt0038650,10,156566
tt0038669,1,337
tt0038669,2,64
tt0038669,3,86
tt0038669,4,244
tt0038669,5,543
tt0038669,6,1717
tt0038669,7,4914
tt0038669,8,8154
tt0038669,9,3517
tt0038669,10,2494
tt0038733,1,513
tt0038733,2,122
tt0038733,3,166
tt0038733,4,272
tt0038733,5,657
tt0038733,6,1576
tt0038733,7,3757
tt0038733,8,6057
tt0038733,9,4668
tt0038733,10,5079
tt0038762,1,734
tt0038762,2,106
tt0038762,3,158
tt0038762,4,360
tt0038762,5,874
tt0038762,6,2205
tt0038762,7,5247
tt0038762,8,6942
tt0038762,9,4049
tt0038762,10,3634
tt0038787,1,1647
tt0038787,2,456
tt0038787,3,645
tt0038787,4,1119
tt0038787,5,3058
tt0038787,6,7193
tt0038787,7,19611
tt0038787,8,31269
tt0038787,9,19881
tt0038787,10,17750
tt0038854,1,154
tt0038854,2,83
tt0038854,3,169
tt0038854,4,313
tt0038854,5,876
tt0038854,6,2483
tt0038854,7,6030
tt0038854,8,6890
tt0038854,9,2618
tt0038854,10,1974
tt0038890,1,266
tt0038890,2,144
tt0038890,3,147
tt0038890,4,239
tt0038890,5,671
tt0038890,6,1838
tt0038890,7,4652
tt0038890,8,8835
tt0038890,9,5704
tt0038890,10,4738
tt0038991,1,142
tt0038991,2,73
tt0038991,3,161
tt0038991,4,371
tt0038991,5,1191
tt0038991,6,3314
tt0038991,7,8913
tt0038991,8,8530
tt0038991,9,2628
tt0038991,10,1798
tt0039192,1,236
tt0039192,2,146
tt0039192,3,199
tt0039192,4,439
tt0039192,5,989
tt0039192,6,2331
tt0039192,7,4947
tt0039192,8,7366
tt0039192,9,4278
tt0039192,10,4744
tt0039302,1,89
tt0039302,2,70
tt0039302,3,92
tt0039302,4,236
tt0039302,5,681
tt0039302,6,2202
tt0039302,7,5788
tt0039302,8,6944
tt0039302,9,2437
tt0039302,10,1987
tt0039628,1,633
tt0039628,2,254
tt0039628,3,367
tt0039628,4,532
tt0039628,5,1866
tt0039628,6,4131
tt0039628,7,9916
tt0039628,8,15046
tt0039628,9,8181
tt0039628,10,9964
tt0039689,1,967
tt0039689,2,296
tt0039689,3,207
tt0039689,4,416
tt0039689,5,991
tt0039689,6,2468
tt0039689,7,6758
tt0039689,8,11800
tt0039689,9,7597
tt0039689,10,6833
tt0040506,1,232
tt0040506,2,99
tt0040506,3,147
tt0040506,4,344
tt0040506,5,1037
tt0040506,6,3231
tt0040506,7,9231
tt0040506,8,14587
tt0040506,9,6959
tt0040506,10,5973
tt0040522,1,2711
tt0040522,2,978
tt0040522,3,1150
tt0040522,4,2039
tt0040522,5,4446
tt0040522,6,8668
tt0040522,7,23650
tt0040522,8,45366
tt0040522,9,40042
tt0040522,10,36248
tt0040525,1,231
tt0040525,2,135
tt0040525,3,238
tt0040525,4,498
tt0040525,5,1243
tt0040525,6,3237
tt0040525,7,8035
tt0040525,8,10012
tt0040525,9,4485
tt0040525,10,3129
tt0040724,1,1138
tt0040724,2,200
tt0040724,3,202
tt0040724,4,429
tt0040724,5,1006
tt0040724,6,2502
tt0040724,7,6424
tt0040724,8,9788
tt0040724,9,5281
tt0040724,10,5109
tt0040725,1,530
tt0040725,2,239
tt0040725,3,349
tt0040725,4,543
tt0040725,5,1386
tt0040725,6,2426
tt0040725,7,5285
tt0040725,8,9160
tt0040725,9,7341
tt0040725,10,8939
tt0040746,1,1485
tt0040746,2,510
tt0040746,3,658
tt0040746,4,1204
tt0040746,5,3141
tt0040746,6,9431
tt0040746,7,28749
tt0040746,8,50733
tt0040746,9,29960
tt0040746,10,20128
tt0040897,1,2146
tt0040897,2,727
tt0040897,3,874
tt0040897,4,1662
tt0040897,5,3237
tt0040897,6,7086
tt0040897,7,19985
tt0040897,8,37337
tt0040897,9,28869
tt0040897,10,24246
tt0041090,1,216
tt0041090,2,120
tt0041090,3,180
tt0041090,4,367
tt0041090,5,938
tt0041090,6,2257
tt0041090,7,5665
tt0041090,8,6764
tt0041090,9,2990
tt0041090,10,2249
tt0041546,1,1150
tt0041546,2,263
tt0041546,3,260
tt0041546,4,447
tt0041546,5,967
tt0041546,6,2329
tt0041546,7,5971
tt0041546,8,11190
tt0041546,9,7990
tt0041546,10,7470
tt0041959,1,2633
tt0041959,2,905
tt0041959,3,1371
tt0041959,4,2369
tt0041959,5,4941
tt0041959,6,11106
tt0041959,7,28099
tt0041959,8,46362
